# Bilayer_constraint_testdata_d2o 
#  Q, R, dR, dQ
4.082222267171727037e-02 3.284535131543326464e-04 3.190952099240918969e-05 1.289982236426265782e-03
4.215683635479122032e-02 2.277825748976144808e-04 2.553043791284268752e-05 1.332156028811402621e-03
4.353508298008320482e-02 1.939498073060499548e-04 2.043586833612250531e-05 1.375708622170629478e-03
4.495838905300886951e-02 1.947664836224002633e-04 1.639883421142431197e-05 1.420685094075080498e-03
4.642822771617105548e-02 1.333517730876032160e-04 1.322841889590731701e-05 1.467131995831005538e-03
4.794612027408423627e-02 1.237490615603778726e-04 1.076402692293353515e-05 1.515097400661062025e-03
4.951363776774669878e-02 7.752246240817638634e-05 8.870628747376011925e-06 1.564630953460795790e-03
5.113240260069108756e-02 6.490910410915395369e-05 7.434810023606868606e-06 1.615783922181838464e-03
5.280409021819574417e-02 7.572338067358929650e-05 6.361480853278075724e-06 1.668609250894985711e-03
5.453043084139507640e-02 3.987458282703461808e-05 5.571128179188389184e-06 1.723161614588084598e-03
5.631321125808377154e-02 6.289365825333458038e-05 4.997516481432610192e-06 1.779497475755447301e-03
5.815427667206821832e-02 4.325721420936911747e-05 4.585759379447092286e-06 1.837675142837355861e-03
6.005553261297962714e-02 3.671117766557470413e-05 4.290698592785864709e-06 1.897754830570156466e-03
6.201894690852470526e-02 4.060820067322713490e-05 4.075537710578153332e-06 1.959798722309380719e-03
6.404655172121660744e-02 4.061634254276870503e-05 3.910687122598406089e-06 2.023871034390444922e-03
6.614044565169230339e-02 3.629897327648123597e-05 3.772783563727902732e-06 2.090038082593476988e-03
6.830279591079550794e-02 4.010300351687448703e-05 3.643853418384679344e-06 2.158368350781138430e-03
7.053584056267113434e-02 3.378807562680581845e-05 3.510593600473051358e-06 2.228932561780408092e-03
7.284189084119463420e-02 3.726060840124251802e-05 3.363747628177264573e-06 2.301803750581750668e-03
7.522333354213286971e-02 3.146983113902460143e-05 3.197557651277558617e-06 2.377057339931399130e-03
7.768263349351250957e-02 3.313913233537785392e-05 3.009275846710011369e-06 2.454771218394995354e-03
8.022233610675337523e-02 2.970910721333767783e-05 2.798720909391732752e-06 2.535025820973407090e-03
8.284507001120600123e-02 2.288479334761889855e-05 2.567867415221094311e-06 2.617904212354109882e-03
8.555354977482206025e-02 2.668346627947507172e-05 2.320457784989294059e-06 2.703492172884377435e-03
8.835057871377129113e-02 2.218336523212501460e-05 2.061628497733072095e-06 2.791878287355172884e-03
9.123905179391531006e-02 1.538502661260488365e-05 1.797544178609104042e-06 2.883154036687724225e-03
9.422195862713914072e-02 1.263300264403385068e-05 1.535035296031102463e-06 2.977413892617596959e-03
9.730238656564355049e-02 1.069624904717547125e-05 1.281237488501465683e-06 3.074755415474336555e-03
1.004835238973995765e-01 1.160459222067004369e-05 1.043233035536720630e-06 3.175279355157826795e-03
1.037686631460732894e-01 7.699368193924857969e-06 8.276976903644057681e-07 3.279089755415916241e-03
1.071612044788358836e-01 6.377441727226785006e-06 6.405589541254212577e-07 3.386294061531214348e-03
1.106646592255864925e-01 5.170187940447158799e-06 4.866747966927275621e-07 3.497003231528533589e-03
1.142826535132299287e-01 3.361690417105232202e-06 3.695446691755699801e-07 3.611331851018066089e-03
1.180189320187710750e-01 3.045436898349623340e-06 2.910671633727423581e-07 3.729398251793166266e-03
1.218773618451105129e-01 3.189153847122522335e-06 2.513605775714455608e-07 3.851324634305492399e-03
1.258619365235523202e-01 2.353149344572276450e-06 2.486635823800122012e-07 3.977237194144253411e-03
1.299767801471675144e-01 2.980594509111519281e-06 2.793327285778256503e-07 4.107266252650493450e-03
1.342261516392907472e-01 3.412874220543035836e-06 3.379512829939874167e-07 4.241546391801588253e-03
1.386144491615681762e-01 4.365268777646640281e-06 4.175594302306338219e-07 4.380216593505554742e-03
1.431462146661190982e-01 5.239560320492504598e-06 5.100089536338625602e-07 4.523420383449363626e-03
1.478261385965228825e-01 5.668112327141505669e-06 6.064360478731468969e-07 4.671305979650123771e-03
1.526590647424965752e-01 8.319464352338159266e-06 6.978341499574654087e-07 4.824026445862892101e-03
1.576499952532882665e-01 8.388517012529100517e-06 7.756952660627102140e-07 4.981739850003909925e-03
1.628040958149745143e-01 7.270788613073892617e-06 8.326744017367775083e-07 5.144609427753195352e-03
1.681267009970210669e-01 7.813688236157247786e-06 8.632191062189337799e-07 5.312803751505865840e-03
1.736233197736405942e-01 9.248420503195110425e-06 8.640970687673031853e-07 5.486496904847043207e-03
1.792996412256609717e-01 9.402773590372823367e-06 8.347517836222567037e-07 5.665868662730887649e-03
1.851615404288076139e-01 8.182332081178228655e-06 7.774220826391510685e-07 5.851104677550320737e-03
1.912150845344925965e-01 7.373238403286136680e-06 6.969779369253962685e-07 6.042396671289966548e-03
1.974665390494051431e-01 5.681271008273869470e-06 6.004532334066764875e-07 6.239942633961203036e-03
2.039223743204027217e-01 6.228377522086483693e-06 4.962951793183534146e-07 6.443947028524727068e-03
2.105892722314146037e-01 3.483197111780826904e-06 3.933959228295383214e-07 6.654621002512702173e-03
2.174741331192895366e-01 3.256943939983680896e-06 3.000182755562150360e-07 6.872182606569549913e-03
2.245840829157452478e-01 2.394842829840373324e-06 2.227648051129710380e-07 7.096857020137550300e-03
2.319264805228120341e-01 1.636505061144481757e-06 1.657573197311964924e-07 7.328876784520861262e-03
2.395089254294038572e-01 1.266566036249723007e-06 1.301819108789575513e-07 7.568482043569162675e-03
2.473392655769010295e-01 1.179597560847914647e-06 1.143072006928481784e-07 7.815920792230073716e-03
2.554256054818835331e-01 1.092703733310788485e-06 1.140016154748675784e-07 8.071449133227520667e-03
2.637763146244248569e-01 1.277241133557062919e-06 1.236708742847478226e-07 8.335331542131826921e-03
2.724000361106259094e-01 1.559191289496412438e-06 1.374317941270432192e-07 8.607841141095778914e-03
2.813056956183564994e-01 1.458858574280198278e-06 1.502629836818590789e-07 8.889259981540066288e-03
2.905025106354623965e-01 1.646458092262305406e-06 1.588572868143020154e-07 9.179879336080613156e-03
2.999999999999999889e-01 1.390697882368511238e-06 1.619643305715102683e-07 9.480000000000000579e-03
